"","area","bedrooms","price"
"12",2000,3,347000
"8",1427,3,198999
"36",1437,3,249900
"40",2162,4,287000
"21",1767,3,252900
"26",1100,3,249900
"47",1203,3,239500
"6",1985,4,299900
"33",2040,4,314900
"16",2300,4,449900
"23",1604,3,242900
"31",1839,2,349900
"18",1236,3,199900
"24",1962,4,259900
"46",1852,4,299900
"11",1940,4,239999
"17",1320,2,299900
"43",2567,4,314000
"32",1000,1,169900
"41",1664,2,368500
"28",2526,3,469000
"3",2400,3,369000
"38",2132,4,345000
"42",2238,3,329900
"39",4215,4,549000
"2",1600,3,329900
"29",2200,3,475000
"27",1458,3,464500
"10",1494,3,242500
"5",3000,4,539900
"20",3031,4,599000
"25",3890,3,573900
"45",852,2,179900
"13",1890,3,329999
"30",2637,3,299900
"14",4478,5,699900
"15",1268,3,259900
